sentence_id	sentence	sentence_domain	source
15e939352304636cc00d91ba2faaed93ab77c303118414ec3b41057db7c213eb	په تناره کښې ډوډۍ ولګوۀ۔	general	خپلې جملې مې جوړې کړې۔
1795186d795ae347ed81a9cab75b886693a6a7491e48c4fcf24b63d45e4391c9	Da ghal pa geera k khas vee.		https://ww.web.pk/2017/best-pashto-mataloona-proverbs-with-english-translation/
17c0f28faa363b14de3d9ddc2fb32072c17b9393b41865e4802a3549e8909148	انسان همیش په لټه کی دی هغه که هر څه وی.		ا
1808608317316316dd841f923f04fe243cc714011cb70cbb446510933a754be9	د اسلام لومړۍ بیناء کومه ده؟		Self citation
182ef3c0fd7ce8a02d866721faeb27c6bb8df5df713782f321ff102ff0d96b49	 د لمړي ځل لپاره بودیجه په ۹۹۲۱ کال کي منځته راغله	general	amalkhan320as
188a025211013a08af9344de6afb8bcaf294c2c4a3559483d3cf9b48c9255875	څې نه کار، هلته څه کار		هلال 
18d7954815e73bc4bd77e04f0bf832cecfb8f88548d715059a5f4ce4464e40e2	الکول لاسونو د یا  ومینځئ لاسونه خپل تل		cdc.gov
190a1c180fa37d0093b28d2fc5c6845b9679ef3c6c602e7b49dcc61a2d0cac45	نو ولی دلته پسې گرځې؟		زه پــــــــــه » زه « پسـې گـرځـــــــم
1954602b21b5b07f4f5f99091a8467811a91c2b0c84eb147eb0d74cbe73b287a	لمبے بلې شوې	general	خپلې جملې مې جوړې کړې۔
195fedf53746692f98eafc3783b9b3bc311d033508769c31ab40768c37ded103	دا ده کابل کرکټ لوبغالی دی		خپله ليکنه 
1962886fb3a238121bb66ad0fbc4cdf304149dbf2e407b8f8cd2af20aab26d34	عفونیت د او کړئ پاکې ډول مکرر		cdc.gov
19920fd5df0d76a57184e33fe34e9eef56c3563f87b59b4ceecc8310e1327668	لمس د خولې او پزې سترګو،   خپلو د		cdc.gov
19a368377ed59f8b319dd32c111656e2261756d447bc67ffc948e6f45a4dcb93	چالان ترمامیټر سره کښیکاږلو		cdc.gov
19f14ed57f92eed599a000202b0681dd8b766a7b8897e51839c34c7b42091955	د کبرثي هًْْ اکسبیذ هسوْهیت څخَ ځبى ّسبتئ		cdc.gov
1b672618bbc7cad4dea8995b65caa768c2c78e04e17626b313beaff5db09b605	ځنګل د ازمرو نه خالي نۀ وي	general	خپلې جملې مې جوړې کړې۔
1bbe52f2208054c75a53afef6405ed4ca3b686e2bc9a0c5c3d537b365c7ea6af	ّهٌیځئ.		cdc.gov
1bdaf8adb7d52013764e11144897cf111a22fe59df4238a3723d4acc886ca5e9	ځواني چې تېره شي، دا يو نۀ پاتې کېږي	general	خپلې جملې مې جوړې کړې۔
1c3e1be427c6d928848b9581bac3aa668fee52661e838357036bb5fc1dc96ad3	احمدخون،ګل مرجون		Self citation
1c61f863cf4e98ca96905c6999ac2b75ad29e3dfe86975eedf027bca76c185f7	زما غېږې له راشه بچوړيه چې ډوډۍ درکړم	general	خپلې جملې مې جوړې کړې۔
1c676a58a6db5b59cfc9ec0828e68b90995dddbc8495fbed691fb60f5cc556b7	راځئ چې د نن نه دا قسم اوکړو يارانو	general	خپلې جملې مې جوړې کړې۔
1c9fa2ccb80193d283d584f8eb4829d2a88bdb24a4ef45cdf7d78727899456f8	تودوخه خپله کې سکرین په		cdc.gov
1cd9a7c74b7666168b18e07f2b84c24cad77003af0feea64bec9c9297d106847	"د خبل راتلونکی لپاره یو منظم پلان جوړ کړی.
"		ف
1cf12b0ffe4c951cb55e37002923ce6f005a5d95bc934ab58fe8ef030e531cfe	بيا په سپين مخ کړه تورې زلفې خورې، دې خامارانو دې خوړلى يمه۔	general	خپلې جملې مې جوړې کړې۔
1cf4ddcaeab3b1a13f29128516e00036765be1d047fde94ad96146f81042e37d	مخکې نه وتلو د		cdc.gov
1d5bbc148e300e89f778c28b8c862f6be2ed77604caa9c801d05f761b0fe2733	تېر به شي عبث راباندې وخت د نادانۍ	general	خپلې جملې مې جوړې کړې۔
1d74bf1a4f670f00ab6f332d0e78743eb0b7052d0215ed088f7d73b87075f8ce	وايه راته وايه پټ حالونه سترګو سترګو کښې	general	خپلې جملې مې جوړې کړې۔
1d9f3a876576c99c19adfc680cb9dd772bad962b79c894e2218e0420adad7e01	:وګورئ روغتیا خپله		cdc.gov
1dd77d64109201fed01c285d1ad69920c12b9d81b3dfff201ad7ad53c4ce03cf	تَ زًګ ُّّئ یب د خپلې رّغتیب یب عبهَ ریبست تَ خجرداری ّرکړئ.		cdc.gov
1e26da40676ccc9c05d1dd6d0f13e11e2d1594275a5387cdbd267ca44ef60cfb	نو اوسئ، شاوخوا خلکو نورو د بهر یا دننه		cdc.gov
1e2e849c5eb1f9c03d0b7950293cda41523a0ce1d98c4349932dad0edb596dcd	اوس هر سړي دا سرخوړلے راخستے وي پۀ لاس کښې ئې مخامخ نيولے وي	general	خپلې جملې مې جوړې کړې۔
1e9cfcc0d6b8f4cac6e083c01127320353a1f29d7d04c7e3a78919782d4d163f	پښتو یواځې ژبه نۀ بلکې د ژوند کولو دستور هم دے۔	general	خپلې جملې مې جوړې کړې۔
1f0def626d1908dfd8b415e3d3226f7b71660bf7bccc617548a8749df8634035	د کې سیمه خپله په .شئ پاتې کور		cdc.gov
202c7b496201851f7edcd2e4dfcebaba6d12c7dd8ad0cca8fd9586aef05a4dbf	مرا ډوډۍ خوړلې ده	language_fundamentals,general	خپله لیکنه
2084646476768dca843fee9854adf273559ded7d9b0a187dd44516e5ad5260a1	کې مینځ په تخرګي د ترمامیټر لپاره،		cdc.gov
20b2cda99eff7d4c7b7bbe24e627e1c19e13e44af46eaa9d4144ef5590a1e783	خپله لاسه کله لاسه. 		زما خپل
20b55ed400cb93888551cb85e2ac3a9503b5b2953406662ea94fa662b53b9288	خلک د يو بل سره پۀ مفت يا ډېر کم خرڅ رابطې کوي	general	خپلې جملې مې جوړې کړې۔
210f6a2ff7f56dcc25f10ef00fbc6d9610198912e88920e6794cd0cf5349c007	کۀ جانان غږ راباندې اوکړو	general	خپلې جملې مې جوړې کړې۔
21dcc6550a4282b99a51be0625f789f607fe1e495657b379279278799f084c49	معلوماتو اړه په ګامونو نورو لپاره کولو خوندي ځان خپل د		cdc.gov
21fb5458860917ed883c57e3de328ea157ffe65cd669f3c5875143ee59bcf2d5	خپل نۀ ئې تۀ خپل زما چې مخ درته ښکاره کړمه	general	خپلې جملې مې جوړې کړې۔
221a461e2ac9fe324bd42ccbd2119d9967f64f23c2f317dd40e7ee02e0df1a88	"موږ ولی تل تعصب رامنځته کوو؟
"		ه
22453605d8271a8600b8da65770ed1bd2c9fc4d9aadf70569e56fa9fe3ad0742	خپل تاسې که .ونیسئ اړیکه		cdc.gov
22614e3f55d6106de8bec4e1e31d04972b8302907203767b3b4bb9dac4779e67	ځان له ښکلے سوټ واخله	general	خپلې جملې مې جوړې کړې۔
2279d9eba32551e6b1e16081a8c7e749e4516a1d543a81fe3cbb4ef8afe285fd	خپلو د کې کور په یې تاسې چې شیان هغه		cdc.gov
228d59ad88f802880c3f281856318e74cb746503f936dc4510f9e9e62536aa9e	.ئوکړ ډډه		cdc.gov
22e0fd8af02b290f1666909e1f5b89ff02a220b74bf12c73260d12a347c0c51f	ښه چارې، ورځ دې بختوره	general	خپلې جملې مې جوړې کړې۔
22fbc2089e6c5dbf649ec8bb4a9fc736fe5d294fe24d37d5fe3e55691638d3a9	ګوري پۀ بڼو کښې پټ خاندي د زړۀ سر زما	general	خپلې جملې مې جوړې کړې۔
230d6164be9d0d9e37da5f24269422c2382f7580c9d8084ae1515182a105858d	سره کارکونکي کیس د ادارې		cdc.gov
2376f3b03316e273c1dc0b8100935c6bf2058b03d2c3b9c089613d35250955ac	ستا پۀ ديدن به مَړه نۀ شم	general	خپلې جملې مې جوړې کړې۔
23c9dc21e86e05f8c60d2a2aa9c2a9b562fcacee9ccdd226942c4b5f26f4d538	د ګل باچا د پټي نه د مني پنځويشت سټې جوار شوي وو۔	general	خپلې جملې مې جوړې کړې۔
23e2a315b50fe936aa6fd78be8699c01efc3b4bbea55bf9539e971cabdcf227e	باندې پیډ الکولو د یا صابون		cdc.gov
240f6e264c9f753cc163ab611c79113c5c5638628ed144a8c1fd98d77f58cc1b	هر خوا ته ښکلې د ښائست مې نظارې دي	general	خپلې جملې مې جوړې کړې۔
242bbb614587cb0301d023ed759279f2937f9553b3e86f037df85e51e7181273	هغه وايم چې راغلي مې پۀ زړۀ دي	general	خپلې جملې مې جوړې کړې۔
245cbc52ffe1fc7231808e0d18157a3ff2f4259629be854fad9bee878f25b1e4	Chi si krii, hagha ba rebi		https://ww.web.pk/2017/best-pashto-mataloona-proverbs-with-english-translation/
248c0ea8b829370370745426c3181865fb265ee1caf2060db95fe37f48d088cb	. ملاقات سره ډاکټر د یا ملاقات طبي که		cdc.gov
24ab35e80f5e3db5777616bc63a10481ba470839dd5dd7a7367e672ff3790429	لوے، واړۀ، ماشوم او زلمي هر څوک ترې نه استفاده کوي	general	خپلې جملې مې جوړې کړې۔
24cbd7b10c8d039bd4f676e7e51cb8d248580f949ba05b6e0c949a3b293c021f	بل کړو رقيبانو اُور د مينې په چمن زما	general	خپلې جملې مې جوړې کړې۔
24ced707127b3ebfe1f4b01297d026b72ff52d7b74e48d7a4f81770e1629a3de	پرون د هغه فلاني بېټک ته ورغلم	general	خپلې جملې مې جوړې کړې۔
2534b97d656a63d8222cbdef4f9e36156b8df58f0d781cfc4ac38a92b5cdb12c	. خپل سره خلکو نورو د کې کورنۍ په		cdc.gov
265cc68331b68344d56d654021ee4492045ab85aa6b06867cd9b9118575d0c09	Rishwat har zay ke lara wobasi.		https://ww.web.pk/2017/best-pashto-mataloona-proverbs-with-english-translation/
2671edfb058c196f636f1e9dfde90d11dea720d31e99790b63d58c198f2bdf43	ګل باچا د اولس خدمت ته هر وخت چمتو وي۔	general	خپلې جملې مې جوړې کړې۔
26bf903665e67eb1d15497cdec5d6407f95240f59a7a8935df6982ba89b04a06	تۀ اوس ده ته کوم کلے ورکوې؟	general	خپلې جملې مې جوړې کړې۔
2736edcdc3e61e6d63f3025ff104f335b5dc588ad8c7ae824c7a156823e95301	ًْ ډیر خطرًبکَ دی .د خپلې کْرًۍ سبتٌې لپبرٍ:		cdc.gov
278f8bc9b847499833113236f6ae01b673cd6031526573776912bc48e43599b1	يره دې ته اوس کومه زمانه ووايو	general	خپلې جملې مې جوړې کړې۔
281c4ef38e3990f7e883976d428c227574f14161001a49cc0b2d63b3b62bb65c	پۀ حجرو او بېټکونو کښې ټي وي او رېډيو ته ناست وي	general	خپلې جملې مې جوړې کړې۔
28a0c883078a9368c6e3e03aa52aaf44aa13713ade5d6632dc732f0ad30b7d6a	یا یو بې غیرته یا جهاد ورک له دې ښاره دی		Self citation
28faef282bdf30f37d682a5bef9546b6ca6b82531844114bc33725f0d1e6b3b9	دفتري کارونه اوس پۀ وټس اېپ چلېږي	general	خپلې جملې مې جوړې کړې۔
293001c94e1845f6fc72df0dab4dcfb2018b948269ec22c9c1c68d075f618ba2	• د خپل پر سر د ثرق لیًٌْْ تَ پبم کْئ.		cdc.gov
297d2f4d9251eb1b5e6d4f6d341ff6537454b4c623d503974768d70802c2cc03	ايسپزي افغانان د سوات پۀ سردرو کښې ژوند ژواک کوي	general	خپلې جملې مې جوړې کړې۔
29ee6cd5ec969fa73064c60c9dc025bd2b34e00b70d676524a7041fd063c3437	.شي کولی مرسته سره تاسې		cdc.gov
2a7fb7cbebeba3c46dd2feae79d1312583b7679f530ef75294eece211ecf2e7c	معلومات اړیکې د کارکونکي کیس د ادارې بیامیشتیدنې د		cdc.gov
2af5839b26870ab6f730ab6e6372ebfbc7974291e42da057120fb7c5745dc8e9	"مینه او بیره یو د بل په مخالف جهت کي
قرار لري"		زه پــــــــــه » زه « پسـې گـرځـــــــم
2b590244f08c2aa6ab59eb73a47d36f314e8ea69adcdb6c662320b745116279e	د برېښنا پلورنځي کې مې نن دنده وکړه		خپله ليکنه ده 
2bca857c2ddcfcd97ab26b3a5027f268dab92888cb4487de8985f4141df8468c	د مسلمانانو سپیڅلی کتاب قرآن کریو دی.		اسلامي معلومات
2bec63d1271ef157dbb311646e6c37e1f43fa4f8780da108ff27576a995c3553	:دي مخ خلک لاندې  خلک عمر ډیر او پاخه د		cdc.gov
2c64dd9058327d56c6960529646967affca1b838af9356877c6095e64cc43463	اړیکه سره کارکونکي کیس د ادارې		cdc.gov
2d252bb6188def374fe0df5862973f31361f9e1efecb36b7484ee368ff041a08	شوق وې مړه هغه سر خوړلے به ئې کولو کنه	general	خپلې جملې مې جوړې کړې۔
2dbdb33c4f7b587097e1a4307a0205f185e83b04b1c8a43c756e5f9ce126f7a7	د او میزونه، کاونټرونه، لکه پاکوئ کیږي		cdc.gov
2de792c2d47f20c8d9dcff9ad96b348be9b4c615bdf43ac76e49a994b1afb805	:شمیره تلیفون د		cdc.gov
2df9810876c60858fc52b3ea085886100c3220cb6ee4c4ec12fcc809485c3fe5	يار کۀ يار زما شولو دغه دے اختر زما	general	خپلې جملې مې جوړې کړې۔
2e0d3680cc275e877d46ea5d9f14963acd734c0409adcfaa0666b0778f5e09f6	.اوسئ		cdc.gov
2e0dcdfbb5e76dbb37d558ee4a9f20bc46027e0186638fea69dc4a000fad5ace	ډيرې سپيرې سترګې د خلقو راپسې دي	general	خپلې جملې مې جوړې کړې۔
2ea2293d8129e327aeb95260325645944bb94961dd4c82d4ffee4d88d0b487e1	"دپښتون کور يې دملا په امسا ړنک کړ 
رارسيږه دخوشحال بابا جمدره "	general	عصمت قانع
2eead6ee2980700dd13a5b3bb0d976c034fc55efb4d17578d5960021f7980132	زړۀ به چا له ورکړي څوک دغه زمانه کښې	general	خپلې جملې مې جوړې کړې۔
2f542799cc66a362d05efec76e569ab33d5f31c13af9c52b0445c391a41f5693	در به شم يو ځلې دشمنان به در په در کړمه	general	خپلې جملې مې جوړې کړې۔
2f6ad106f7fb273c782bd9ee0bc7d86bacd80b2abd15e7d20d4f4db6972eba17	د سوات د سيند اوبه رڼې او خوږې دي۔	general	خپلې جملې مې جوړې کړې۔
2fac09bb970f137f6273fd972a3214971d3114695c5f572aba4e6ee80201800a	د ثرق لیًٌْْ اّ خطرًبکَ شیبًْ څخَ ځبًًَْ لرې ّسبتئ		cdc.gov
2fc04cc035619bacad5ea82555011def665a3e6b7533239a63f07943fb49812f	خدائے دې سوات ته راوله د سوات په بهانه۔	nature_environment	خپلې جملې مې جوړې کړې۔
2fc5838c8606b5c5e2ddf2d2a16725714f58228e6c40baad0fa2f941bf5095a6	Khwara khola au sarbey khabaray		https://ww.web.pk/2017/best-pashto-mataloona-proverbs-with-english-translation/
300958478a96c62d0bd24902cd6abfc8892f938a355d6b3fd2c2be5857232953	زۀ چې درته وايمه ولې نۀ پوهېږې تۀ	general	خپلې جملې مې جوړې کړې۔
300b64b67d6ec95c7a33e07308c433ca4508dd14f459f70c3396e75abb8f2151	سږ کال په افغانستان کښې د اورښت کچه ښودل شوې.		خپله جمله
3037ce73409c2a91644e4f1c1c5b4b349a5c787885af149c744aa095b355e759	کیس د ادارې میشتیدنې د یا ډاکټر		cdc.gov
305090e041a88497ee7909f181eaec6557d1d5e69f2a889673307f42e0b84486	Khaza da koor chiraagh dey.		https://ww.web.pk/2017/best-pashto-mataloona-proverbs-with-english-translation/
30ccb4244ca09702efd6b92eb60b60fc2e89fffdd6410b3c31ecc26f640cb784	څوک چي فیلان ساتې دروازي جګې جوړه وي		متل
31ace001e6f46dfa4abce449c5bed4529a132efe43d77383e074cc617f5e6710	زه د ونډودرانیولواوپلورلوددندی زده کول غواړم	finance	خپله خبره
320cbe36bc3dbf1880e2a3da5b8b708d3eb4916ae820a4cb2f44517aa832d7e7	څوک د مسلمانانو وور ګڼل کېږي؟		اسلامي معلومات
321614cede97bbac492e180376bce3aa839f7e3d11ead7afb9431d61356cef5a	د شپې د څملاستلو نه مخکښې غاښونه وينځل ښه عادت دے۔	general	خپلې جملې مې جوړې کړې۔
327476a2bdbccbeb6e06dfbe0c33a53550dd4dcd1a2d8333d84102c24a4134df	د میني په موجودیت کي بیره له منځه ځي		زه پــــــــــه » زه « پسـې گـرځـــــــم
32ba6db7f3572a074ed3db0b031380cbdfedf691de0d7ce21d0db4390c3d1e55	کیس د ادارې میشتیدنې د خپل لپاره		cdc.gov
32d8fa587e093aec84a2d61cdf0fd426e14285c1e5bbb36b179828a3dd06ac0b	د سیلاة اّثْ څخَ ځبى لرې ّسبتئ		cdc.gov
32ed81ccb1c9b362f7ffbc45901ba0e93c90577d134ef392839a391e13e143d4	ځلان خان زما د زړۀ سر دى۔	general	خپلې جملې مې جوړې کړې۔
33386fe98c0a3756f81ff14275dcda6ac4f12ea850d24cc34feeaa34bdad407c	ويسټ د‌ پي ان جي خلاف ټاس وګټی او لومړی توپ اچونه کوي	general	فېسبوک 
335b5c60e6392fcc81f6f19daf2baa63172c67ef14c4bfd35174a8ba98ef04ca	تۀ ئې زما ژوند زۀ بې وفا يمه ستا مينه يم	general	خپلې جملې مې جوړې کړې۔
33ad4e4b4f6aa447a60f6eb95221b2abd8983eab19321e2abf3f250b438c8b2d	ما اېم اېس سي او پي اېچ ډي وکړل	general	خپلې جملې مې جوړې کړې۔
344547ef1914d5a2cc2fde6ffbc4f482fcdec2114f22ec853281b952f18bf8c5	لږترلږه ځله ډیر لاسونه خپل		cdc.gov
352d9c44dc7c7312916b0d92b55df3cb39158d5efbea4cfbf20a9d3bc0a0472d	موږ یوه شه ملت یوو 		زه دافغانستان یم 
3581a34bee7478e21cd0f50540df020fe525c7440e7ae0a1aa58f8bfcddcc444	شوق وې هم دغه ګېم يادوم کنه	general	خپلې جملې مې جوړې کړې۔
3604cdc5c4deb9f3917cf8ba9cf11dcb165c35dfa6634954f52182343cc2dc8f	نۀ خېر نۀ خبره هر څوک لګيا وو د ځان سره	general	خپلې جملې مې جوړې کړې۔
36960e644272d50dde7a6b6db8278212ce2a724b82ad044984ec228f5890d707	کامياب هغه دي چې د دې پۀ هنر او استعمال ځان پوهه کړي	general	خپلې جملې مې جوړې کړې۔
36b499c5301d787146b248cfd16efcdf736ceb2184d7cf14ea0a32f4373a9056	Da ooney sal kaala umar dey kho da marghay pakey yawa shpa da.		https://ww.web.pk/2017/best-pashto-mataloona-proverbs-with-english-translation/
37fd658b364b15859aa220990c4aae97d83e40dcc7a94a5108891145914efd49	خوروونکے د نتيجې نه بې خبره خپل کار وکړي او شوق پوره کړي	general	خپلې جملې مې جوړې کړې۔
38218a4820a0f46c0017a4e312315f193858057a81066f887fe4f67cbd6971ac	د کليو په کورونو کښې خلق تنورونه لګوي۔	general	خپلې جملې مې جوړې کړې۔
38777e4553f99bae23eaa8aa9d5022523e6f7058122cad0be8e66a5955ce9a8d	لاړۀ د چرګانو او مړزانو جنګولو وختونه لاړل	general	خپلې جملې مې جوړې کړې۔
395afaf416400a502197b13aadac2cd0922bb82a832c8f3d02736cdf20ec7556	چې مخې له معلوماتو هغه د		cdc.gov
